"GUID","synth1","synth3","synth4","synth2","synth round 1 age","synth round 2 age","synth round 3 age","synth round 4 age"
-888392531,3231,,,,"25-34","35-44","35-44","35-44"
2070648893,,7836,,,"16-24","25-34","25-34","25-34"
1388193227,,9066,,,"35-44","45-54","45-54","55-64"
15631807,5879,,,3229,"35-44","35-44","45-54","45-54"
1159043723,6087,,,,"45-54","45-54","45-54","55-64"
1510599342,,668,668,,"35-44","45-54","45-54","45-54"
-910321483,,,,6337,"25-34","25-34","35-44","35-44"
916341997,1306,,,,"55-64","65-74","65-74","65-74"
-1414767669,,,,4806,"16-24","25-34","25-34","25-34"
-636736203,,5965,,,"45-54","45-54","55-64","55-64"
-524612420,,8626,,,"16-24","25-34","25-34","35-44"
845457694,4922,,,2806,"35-44","35-44","45-54","45-54"
-97318323,,,6654,,"16-24","16-24","25-34","25-34"
-1319331424,,7746,,,"16-24","16-24","25-34","25-34"
-1029544105,,,14201,,"16-24","16-24","25-34","25-34"
2075473572,,,,5083,"16-24","25-34","25-34","25-34"
1325543002,5824,3200,,3200,"35-44","35-44","45-54","45-54"
110922801,3520,,,,"25-34","25-34","35-44","35-44"
2103128,,7585,7585,,"0-15","16-24","16-24","25-34"
297635110,,7201,,,"16-24","16-24","25-34","25-34"
-237000077,,,11479,,"16-24","25-34","25-34","35-44"
1486774994,,8872,,,"45-54","45-54","55-64","55-64"
1663769701,,5848,,5848,"16-24","16-24","25-34","25-34"
1800730479,,,12755,,"16-24","25-34","25-34","35-44"
-1881865340,,,,4503,"35-44","45-54","45-54","55-64"
1323334397,,8799,,,"16-24","25-34","25-34","25-34"
737981344,5909,,,,"25-34","35-44","35-44","35-44"
-1404376287,,7639,,,"16-24","16-24","25-34","25-34"
101803226,5088,,,,"55-64","65-74","65-74","65-74"
-641128889,2684,8672,,,"45-54","45-54","55-64","55-64"
-1152103903,1323,1336,,1336,"25-34","25-34","35-44","35-44"
722980853,79,,,,"35-44","45-54","45-54","55-64"
1604176345,,5849,,5849,"16-24","25-34","25-34","35-44"
1025293157,91,,,"4008,5767","25-34","25-34","25-34","35-44"
1038048905,,,14190,,"0-15","16-24","16-24","25-34"
-1160434373,5110,,,,"25-34","25-34","35-44","35-44"
-1859454928,1280,,,,"25-34","35-44","35-44","35-44"
-169348189,,,,4545,"16-24","25-34","25-34","35-44"
-1987458584,1842,,,,"25-34","25-34","35-44","35-44"
-1051057297,,,11535,,"16-24","16-24","25-34","25-34"
848131179,1530,,,,"35-44","45-54","45-54","45-54"
-139163168,,6106,,,"45-54","55-64","55-64","65-74"
252541263,3389,,,,"25-34","35-44","35-44","35-44"
-1581208776,,6580,,,"25-34","25-34","35-44","35-44"
1209322695,5914,,,,"25-34","25-34","35-44","35-44"
1290842792,2140,,,,"25-34","35-44","35-44","35-44"
1801462011,,,,6357,"16-24","25-34","25-34","35-44"
-381534089,,,,5994,"16-24","25-34","25-34","25-34"
1294807687,5785,,,,"25-34","25-34","35-44","35-44"
-347191802,1679,,,,"55-64","65-74","65-74","65-74"
100197337,,5963,,,"16-24","16-24","25-34","25-34"
-597498853,,,,5300,"25-34","25-34","25-34","35-44"
-1075921563,2653,,,,"25-34","35-44","35-44","45-54"
1394524507,2996,,,,"45-54","55-64","55-64","55-64"
1030738850,46,,,,"25-34","35-44","35-44","35-44"
-1130792178,1498,,,,"35-44","35-44","45-54","45-54"
-1203096090,,,,3505,"35-44","35-44","45-54","45-54"
-689757112,,,,4642,"25-34","35-44","35-44","45-54"
2008635853,4322,7760,,,"25-34","35-44","35-44","45-54"
-641003788,,7837,,,"25-34","25-34","35-44","35-44"
-738477466,,8647,,,"45-54","45-54","55-64","55-64"
1844579837,3596,,,,"55-64","65-74","65-74","65-74"
21685073,,,16654,,"16-24","16-24","25-34","25-34"
-140773534,"3527,5442",,,3504,"35-44","35-44","45-54","45-54"
-981037798,,,,3485,"35-44","35-44","45-54","45-54"
-199002567,,,12612,,"16-24","25-34","25-34","35-44"
2031140686,,4588,4588,4588,"35-44","45-54","45-54","45-54"
748278382,5135,,,2909,"45-54","45-54","55-64","55-64"
-641850819,5743,3157,3157,3157,"25-34","25-34","35-44","35-44"
-1635403031,,4482,,,"45-54","55-64","55-64","55-64"
968900947,,,,5944,"16-24","16-24","25-34","25-34"
537635665,365,1052,,,"25-34","35-44","35-44","45-54"
-2107309127,,,16613,,"25-34","25-34","35-44","35-44"
1168556563,,6735,,,"16-24","25-34","25-34","35-44"
-819571991,,6866,6866,,"25-34","25-34","35-44","35-44"
1695903950,402,,,,"25-34","25-34","35-44","35-44"
-729885694,,6805,,,"25-34","25-34","35-44","35-44"
488881990,4324,,,,"25-34","25-34","35-44","35-44"
368795687,1760,,,,"35-44","35-44","45-54","45-54"
-698291990,,,,5843,"45-54","55-64","55-64","55-64"
1423829495,,6797,,,"35-44","45-54","45-54","45-54"
239825684,3655,,,,"25-34","25-34","35-44","35-44"
990901475,,4422,,4422,"35-44","35-44","45-54","45-54"
358835542,,9306,,,"55-64","65-74","65-74","65-74"
1246708813,,9312,,,"16-24","16-24","25-34","25-34"
376479283,95,,921,921,"25-34","35-44","35-44","45-54"
-78464466,,9611,12694,,"0-15","16-24","16-24","25-34"
-865307265,,,12607,,"16-24","16-24","25-34","25-34"
-1368294180,4923,,,,"16-24","25-34","25-34","35-44"
1108746065,3062,6953,,,"25-34","25-34","35-44","35-44"
-1572309525,3534,,,,"45-54","45-54","55-64","55-64"
-1472980277,,,,4483,"25-34","25-34","35-44","35-44"
-1137521898,,3519,,3519,"25-34","35-44","35-44","45-54"
-1653459482,4917,,,,"25-34","25-34","35-44","35-44"
106683718,4503,,,2669,"35-44","35-44","45-54","45-54"
2147158421,1194,,,,"55-64","65-74","65-74","65-74"
37371381,,,10341,,"25-34","25-34","35-44","35-44"
890414967,,8536,"8536,16248",,"25-34","35-44","35-44","45-54"
144000092,1536,,16539,,"35-44","35-44","45-54","45-54"
-56759134,6175,,,,"45-54","45-54","55-64","55-64"
121651134,5997,,,,"35-44","35-44","45-54","45-54"
-293951141,1854,,,,"25-34","35-44","35-44","45-54"
323410561,,9399,,,"45-54","45-54","45-54","55-64"
1858350404,,1594,,,"35-44","35-44","35-44","45-54"
-424539177,2826,,,,"16-24","25-34","25-34","35-44"
-461019389,1282,1315,,,"25-34","25-34","35-44","35-44"
1209999399,1271,,,,"25-34","25-34","35-44","35-44"
-297083814,,8585,,,"0-15","16-24","16-24","25-34"
-1818379932,5998,,,,"25-34","25-34","35-44","35-44"
-547126806,,7056,,,"35-44","45-54","45-54","45-54"
-84839224,,,,4694,"25-34","25-34","35-44","35-44"
165630154,2761,,,,"65-74","65-74","65-74","75-84"
-168535346,6221,,,,"25-34","35-44","35-44","45-54"
419092242,3696,2300,,2300,"25-34","25-34","35-44","35-44"
1415815112,,6631,,,"16-24","25-34","25-34","25-34"
-1170371446,,6621,,,"25-34","35-44","35-44","45-54"
-823097149,5536,,,3044,"25-34","25-34","35-44","35-44"
-1828873373,2825,,,,"45-54","45-54","55-64","55-64"
918206353,,8669,,,"16-24","16-24","25-34","25-34"
69424049,,,,4613,"25-34","25-34","35-44","35-44"
-377874305,2716,,,,"65-74","65-74","75-84","75-84"
-2040131052,2837,,,,"25-34","35-44","35-44","45-54"
-1725820319,5568,,,,"25-34","25-34","35-44","35-44"
-642101944,,,16326,,"16-24","16-24","25-34","25-34"
-355095675,,,,6155,"16-24","16-24","25-34","25-34"
214524171,,,6155,,"16-24","16-24","25-34","25-34"
-1986363713,"630,3008",,,,"25-34","35-44","35-44","35-44"
1866957227,2974,,,,"25-34","25-34","35-44","35-44"
634068111,1746,,,,"55-64","65-74","65-74","75-84"
2105946070,,6765,,,"25-34","35-44","35-44","45-54"
-806914337,,9186,,,"16-24","25-34","25-34","35-44"
2125607705,2917,,,,"35-44","35-44","45-54","45-54"
-1689650915,153,,,,"35-44","35-44","45-54","45-54"
1050618103,5435,,,,"25-34","35-44","35-44","45-54"
-791907256,,7738,,,"16-24","25-34","25-34","25-34"
-1320817214,,,,3731,"16-24","25-34","25-34","25-34"
1172489880,,6793,,,"16-24","16-24","25-34","25-34"
-1039537648,,,,4427,"16-24","25-34","25-34","35-44"
-1651728271,6472,3427,,3427,"35-44","45-54","45-54","45-54"
142988373,1133,,,,"25-34","35-44","35-44","35-44"
-1287458273,2962,,,,"55-64","55-64","55-64","65-74"
552244390,,,11471,,"35-44","35-44","45-54","45-54"
127602407,,,10323,,"16-24","16-24","25-34","25-34"
1921747275,1829,,,,"16-24","25-34","25-34","35-44"
1882399130,,,,6082,"25-34","35-44","35-44","35-44"
-105209738,3869,,,,"25-34","25-34","35-44","35-44"
-1390110443,,9771,,,"35-44","35-44","45-54","45-54"
42905726,4947,,,,"25-34","25-34","35-44","35-44"
-670244622,,,,3734,"25-34","25-34","35-44","35-44"
1375009487,,6783,,,"16-24","16-24","25-34","25-34"
-333057278,,7251,,,"35-44","35-44","45-54","45-54"
639583779,,,,5222,"25-34","35-44","35-44","45-54"
1293480545,2868,,,1958,"25-34","25-34","35-44","35-44"
900251134,,6135,,6135,"45-54","55-64","55-64","65-74"
828316969,,3832,,3832,"35-44","35-44","35-44","45-54"
117371696,,7433,,,"16-24","16-24","25-34","25-34"
-1086311234,,4529,15234,4529,"45-54","55-64","55-64","55-64"
1330322471,,6599,,,"16-24","16-24","25-34","25-34"
1871821960,,,,4750,"16-24","16-24","25-34","25-34"
-526406021,163,,,955,"45-54","55-64","55-64","65-74"
54668141,3925,,,,"55-64","65-74","65-74","65-74"
-98174776,4698,,,,"35-44","35-44","45-54","45-54"
1858642068,,,,3563,"25-34","35-44","35-44","45-54"
-1618178765,,,,5219,"16-24","16-24","25-34","25-34"
419032455,,,6372,,"35-44","45-54","45-54","55-64"
-1363726701,33,,,,"45-54","45-54","45-54","55-64"
1038758277,,,12892,,"16-24","25-34","25-34","35-44"
1884114539,,,16445,,"16-24","16-24","25-34","25-34"
-682548653,4488,,,,"35-44","35-44","45-54","45-54"
-460731749,915,,,,"35-44","35-44","35-44","45-54"
-1270290726,,,10332,,"16-24","25-34","25-34","35-44"
451352697,,,,4218,"25-34","25-34","35-44","35-44"
1970405233,145,,,,"25-34","25-34","35-44","35-44"
1991469653,,,,5712,"35-44","45-54","45-54","55-64"
1161043841,,,,5851,"25-34","25-34","35-44","35-44"
-1905757202,3330,,,,"25-34","35-44","35-44","35-44"
880311290,,7702,,,"16-24","25-34","25-34","25-34"
1737999765,,7907,,,"16-24","16-24","25-34","25-34"
630187469,,,,4721,"35-44","45-54","45-54","55-64"
29158738,705,171,,,"35-44","45-54","45-54","55-64"
748677964,,,,4339,"45-54","55-64","55-64","65-74"
-1832075119,,6661,,,"16-24","16-24","25-34","25-34"
-1478999867,,9462,,,"25-34","25-34","35-44","35-44"
190968987,,8419,,,"16-24","16-24","25-34","25-34"
579813641,,6952,,,"25-34","25-34","35-44","35-44"
1586599516,,8898,,,"16-24","16-24","25-34","25-34"
-209376576,,,10358,,"25-34","25-34","35-44","35-44"
677351007,,7239,,,"16-24","25-34","25-34","25-34"
-1538367555,5438,,,,"35-44","35-44","45-54","45-54"
-1951868849,,,,4841,"16-24","25-34","25-34","25-34"
1455383382,3133,,,2095,"45-54","45-54","55-64","55-64"
255606639,,6030,,,"16-24","25-34","25-34","35-44"
1576676366,,6821,,,"25-34","25-34","35-44","35-44"
587519314,,,,5469,"16-24","25-34","25-34","35-44"
-2107251180,,,16582,,"16-24","25-34","25-34","35-44"
535494330,2796,,,,"35-44","45-54","45-54","45-54"
1542781383,,,,710,"45-54","45-54","55-64","55-64"
-1821696791,5877,,,,"25-34","25-34","35-44","35-44"
995295916,,9157,,,"25-34","25-34","35-44","35-44"
-326363653,651,,,,"35-44","45-54","45-54","55-64"
2114570874,5590,,,,"25-34","25-34","35-44","35-44"
688804363,,6644,,,"16-24","16-24","25-34","25-34"
1398823469,262,,,1001,"25-34","25-34","35-44","35-44"
494935670,,6652,,,"16-24","25-34","25-34","35-44"
-882578939,,7558,,,"16-24","16-24","25-34","25-34"
-1352235305,,,,3600,"25-34","25-34","35-44","35-44"
1149386486,,,16290,,"16-24","16-24","25-34","25-34"
-950184794,,9294,13117,,"35-44","35-44","35-44","45-54"
662974822,4613,,,,"25-34","25-34","35-44","35-44"
-2055320,1358,,,,"25-34","25-34","35-44","35-44"
-1602528691,5733,,,3153,"16-24","25-34","25-34","25-34"
-196716045,813,,,,"35-44","35-44","45-54","45-54"
-1342883524,2675,,,,"65-74","75-84","75-84","85+"
1096132054,,8755,8755,,"16-24","25-34","25-34","35-44"
-1496178301,,,,5388,"25-34","25-34","35-44","35-44"
180495932,,9329,,,"16-24","25-34","25-34","35-44"
-895989268,,7721,,4387,"16-24","16-24","25-34","25-34"
-1908040052,1302,,,,"25-34","35-44","35-44","45-54"
-1161349440,,,10136,,"0-15","16-24","16-24","25-34"
1725006126,566,3699,,3699,"45-54","45-54","55-64","55-64"
-965402242,,6153,,6153,"16-24","16-24","25-34","25-34"
2047750120,1155,,,1243,"45-54","55-64","55-64","65-74"
-1648573286,2935,,,,"45-54","45-54","55-64","55-64"
-1406669082,5079,,3823,3823,"45-54","55-64","55-64","65-74"
-1263862393,,,,5394,"25-34","25-34","35-44","35-44"
-458165383,,6039,,6039,"16-24","25-34","25-34","35-44"
395718358,4058,,,,"25-34","25-34","35-44","35-44"
1709279642,,,,2426,"25-34","25-34","35-44","35-44"
2079418564,3649,,,,"45-54","55-64","55-64","55-64"
2097909133,,9277,,,"16-24","16-24","25-34","25-34"
237364854,289,1017,12802,1017,"25-34","35-44","35-44","35-44"
1978800422,3841,,,,"35-44","35-44","45-54","45-54"
1529552386,321,,,,"45-54","45-54","55-64","55-64"
1861471063,,,,4641,"35-44","35-44","45-54","45-54"
-1965330193,,8699,,,"16-24","16-24","25-34","25-34"
-106731453,,8603,,,"16-24","16-24","25-34","25-34"
2077171050,,6641,,,"16-24","25-34","25-34","25-34"
583060262,3206,,,,"55-64","55-64","65-74","65-74"
1545206246,,9240,,,"0-15","16-24","25-34","25-34"
-1712620118,,8721,,,"35-44","45-54","45-54","55-64"
-805744705,4303,,,,"25-34","25-34","25-34","35-44"
1013934847,2729,,,,"35-44","35-44","45-54","45-54"
-1671857327,,9158,,,"16-24","25-34","25-34","25-34"
1844430748,,9531,,,"25-34","25-34","35-44","35-44"
-629338636,,5326,,,"25-34","25-34","35-44","35-44"
105476309,,,,3863,"25-34","35-44","35-44","45-54"
-2124158856,,,10189,,"0-15","16-24","16-24","25-34"
1442486943,,,,6201,"25-34","25-34","35-44","35-44"
-1496203504,6607,,,,"25-34","25-34","35-44","35-44"
304456620,564,,,,"35-44","45-54","45-54","55-64"
1113032791,,7726,7726,,"25-34","35-44","35-44","35-44"
1464841260,5436,,,,"25-34","25-34","35-44","35-44"
1596814293,757,,,,"35-44","35-44","45-54","45-54"
877935735,2937,,,,"55-64","65-74","65-74","65-74"
-98974941,,,16580,,"25-34","35-44","35-44","45-54"
-1246100676,1707,,,,"35-44","35-44","45-54","45-54"
-1620468040,,,10299,,"25-34","25-34","35-44","35-44"
815597057,,3501,,3501,"16-24","25-34","25-34","35-44"
133319982,,,,2343,"25-34","35-44","35-44","35-44"
-353205775,703,,,,"35-44","35-44","45-54","45-54"
-1256639169,,,,3727,"35-44","35-44","45-54","45-54"
747788696,,,14199,,"16-24","16-24","25-34","25-34"
-1064346223,5156,,,,"35-44","45-54","45-54","45-54"
949999813,1469,,,,"35-44","35-44","45-54","45-54"
1116977620,,,,6338,"16-24","16-24","25-34","25-34"
41082160,130,,,,"25-34","35-44","35-44","45-54"
431372292,5044,2868,,2868,"35-44","35-44","45-54","45-54"
752879803,,,,3598,"25-34","35-44","35-44","45-54"
-2089793339,1380,1366,,1366,"25-34","25-34","35-44","35-44"
2054980304,,6612,,,"16-24","25-34","25-34","35-44"
2027172734,2688,,4241,,"25-34","35-44","35-44","45-54"
-1277518163,4267,,,2544,"25-34","25-34","35-44","35-44"
480136655,4627,,,,"25-34","25-34","25-34","35-44"
-1668563581,,,,3733,"25-34","25-34","35-44","35-44"
1248393508,,9130,,,"16-24","16-24","25-34","25-34"
1961873117,,5632,,5632,"16-24","25-34","25-34","25-34"
1349068768,,8521,,,"25-34","35-44","35-44","45-54"
553441665,,,10365,,"16-24","16-24","25-34","25-34"
198627715,540,,,,"45-54","45-54","55-64","55-64"
193226230,,3835,,,"45-54","45-54","55-64","55-64"
1530832368,2856,,,,"25-34","25-34","35-44","35-44"
245390168,,,,2663,"16-24","25-34","25-34","35-44"
455409511,,7119,,,"25-34","25-34","35-44","35-44"
-1023413608,6315,,,,"25-34","35-44","35-44","45-54"
997565903,,6894,,,"25-34","25-34","35-44","35-44"
-1013812584,3032,,,,"16-24","25-34","25-34","35-44"
-1395765874,4844,,,,"25-34","35-44","35-44","45-54"
181674748,,,16311,,"25-34","35-44","35-44","45-54"
702153339,338,43,,,"35-44","35-44","45-54","45-54"
1550753971,4248,,,,"25-34","35-44","35-44","45-54"
1645828515,,8491,,,"25-34","25-34","35-44","35-44"
1328519884,1669,,,,"45-54","45-54","55-64","55-64"
-1216233139,,8444,,,"25-34","25-34","35-44","35-44"
609177525,,,,5319,"55-64","65-74","65-74","75-84"
-1364723944,,6730,,,"16-24","25-34","25-34","35-44"
-399708081,,3622,,,"45-54","45-54","55-64","55-64"
-329122456,,,11496,,"25-34","35-44","35-44","35-44"
667206624,5242,,,,"35-44","35-44","45-54","45-54"
1627358632,2728,,,,"45-54","45-54","55-64","55-64"
1441537066,,,,5313,"16-24","25-34","25-34","35-44"
-998895556,48,,,,"35-44","35-44","45-54","45-54"
-219099437,,,,4767,"55-64","65-74","65-74","75-84"
-1217782540,,,7704,,"35-44","45-54","45-54","45-54"
1411465048,,7081,,,"25-34","25-34","35-44","35-44"
-1018693552,2054,,,1584,"25-34","35-44","35-44","35-44"
986567277,4747,,,,"25-34","35-44","35-44","35-44"
-190109583,2072,,,6243,"45-54","45-54","55-64","55-64"
683676744,1391,,,,"45-54","45-54","45-54","55-64"
-368344752,,,,4108,"25-34","35-44","35-44","35-44"
-1237788722,,,,3796,"25-34","25-34","25-34","35-44"
-1035174667,,,,3511,"45-54","45-54","55-64","55-64"
992091419,1300,,,,"25-34","35-44","35-44","35-44"
356385122,4635,,,,"25-34","25-34","35-44","35-44"
494753784,,,,3819,"25-34","25-34","35-44","35-44"
1111577733,6609,,,,"35-44","35-44","45-54","45-54"
394212028,,6180,,6180,"16-24","25-34","25-34","25-34"
-864136496,1274,,,,"45-54","45-54","55-64","55-64"
1058817039,5937,,,,"16-24","25-34","25-34","35-44"
-845495901,,8543,,,"16-24","16-24","25-34","25-34"
948746253,3481,,600,600,"45-54","55-64","55-64","65-74"
-1192750032,840,,,,"35-44","35-44","45-54","45-54"
-227682774,5258,,,,"16-24","16-24","25-34","25-34"
717235782,6466,,,,"25-34","35-44","35-44","45-54"
1536288451,162,,,,"25-34","35-44","35-44","35-44"
1953681519,6413,,,3390,"25-34","25-34","35-44","35-44"
-151971728,,,,6000,"16-24","25-34","25-34","35-44"
749206149,3822,,,,"25-34","35-44","35-44","45-54"
-554122459,,8404,,,"16-24","25-34","25-34","35-44"
1320020305,6330,3344,3344,3344,"16-24","25-34","25-34","25-34"
-155697946,2096,1607,,1607,"25-34","25-34","35-44","35-44"
-997967414,1443,,,,"25-34","25-34","35-44","35-44"
-91846192,,,16752,,"25-34","35-44","35-44","35-44"
-802561620,5602,,,,"25-34","35-44","35-44","45-54"
-1811341978,5773,,,3174,"35-44","45-54","45-54","55-64"
1487575908,2323,,,,"16-24","25-34","25-34","25-34"
-2142383052,,,12810,,"0-15","16-24","16-24","25-34"
-512632079,106,,,,"35-44","45-54","45-54","45-54"
2137570730,,7002,,,"16-24","25-34","25-34","25-34"
1986880753,3931,5059,,,"35-44","35-44","45-54","45-54"
-191261050,,,,4685,"25-34","35-44","35-44","45-54"
-1450624285,4941,,,,"25-34","35-44","35-44","45-54"
-1666840896,"1561,1043",244,,244,"35-44","45-54","45-54","55-64"
-183668942,3602,,,,"45-54","45-54","55-64","55-64"
-1716517318,660,1170,1170,1170,"25-34","35-44","35-44","45-54"
-143804229,,,,3544,"16-24","25-34","25-34","25-34"
-836218683,,9440,,,"16-24","25-34","25-34","25-34"
-757350272,3523,5048,,5048,"55-64","55-64","65-74","65-74"
1084674010,,,,6054,"16-24","16-24","25-34","25-34"
305080966,,4653,,,"35-44","45-54","45-54","45-54"
1835486906,,,,3656,"25-34","25-34","35-44","35-44"
-1639782829,2267,,,,"35-44","35-44","45-54","45-54"
1800794290,,6642,,,"25-34","25-34","35-44","35-44"
-530229180,640,,,,"35-44","45-54","45-54","55-64"
1908893062,,9736,,,"16-24","25-34","25-34","35-44"
576591391,1585,1466,,,"25-34","35-44","35-44","45-54"
-1196398002,,7801,,,"16-24","25-34","25-34","35-44"
-1306404492,"396,1320",1335,1335,1335,"35-44","35-44","45-54","45-54"
239473641,3084,2074,,2074,"25-34","25-34","35-44","35-44"
-973609413,2845,,,,"25-34","35-44","35-44","45-54"
-1077588241,708,,1176,1176,"25-34","35-44","35-44","45-54"
2040300924,2866,,,1956,"16-24","25-34","25-34","35-44"
-1468730080,,6079,,6079,"16-24","16-24","25-34","25-34"
-540640771,1233,,,,"25-34","25-34","35-44","35-44"
-208934278,,,12742,,"0-15","16-24","16-24","16-24"
-439012784,,,12619,,"0-15","16-24","16-24","25-34"
-115051361,1257,,,,"25-34","35-44","35-44","35-44"
335764980,4709,,,,"45-54","45-54","55-64","55-64"
-2097151148,1287,,,670,"35-44","35-44","45-54","45-54"
23088482,,7102,,,"16-24","25-34","25-34","25-34"
-2022479335,,6318,,6318,"16-24","25-34","25-34","35-44"
539498544,5863,,,,"35-44","35-44","45-54","45-54"
-1924283179,4415,,,,"35-44","35-44","45-54","45-54"
2029495349,,8458,,,"16-24","16-24","25-34","25-34"
2091774900,75,909,909,909,"35-44","35-44","45-54","45-54"
982449452,1726,,,,"35-44","45-54","45-54","45-54"
-1050102126,,,6683,,"16-24","16-24","25-34","25-34"
-537764756,,9309,,,"0-15","16-24","16-24","25-34"
-537255735,1732,1519,,,"25-34","35-44","35-44","35-44"
-1764024304,,6924,,,"25-34","25-34","35-44","35-44"
752622609,,9534,,,"25-34","25-34","35-44","35-44"
955131443,81,,,,"25-34","25-34","35-44","35-44"
1479360312,236,,,,"55-64","55-64","55-64","65-74"
1328450165,2696,,,,"65-74","75-84","75-84","75-84"
2023478476,5239,8024,,,"16-24","25-34","25-34","35-44"
-1109725850,,,,6035,"25-34","25-34","35-44","35-44"
-1608091138,,,,3707,"16-24","25-34","25-34","35-44"
669430235,,,12947,,"16-24","25-34","25-34","35-44"
692069319,5842,,,,"55-64","55-64","65-74","65-74"
-489490445,4358,,,,"45-54","45-54","55-64","55-64"
-279300099,3255,,,,"25-34","35-44","35-44","45-54"
-1371863352,2806,,,,"35-44","35-44","45-54","45-54"
586097424,,,10368,,"16-24","16-24","25-34","25-34"
-1662310680,2704,,,,"35-44","35-44","45-54","45-54"
1943201669,5036,7775,,,"35-44","45-54","45-54","45-54"
-656467355,143,,,,"45-54","55-64","55-64","65-74"
-1048403372,,,10387,,"16-24","25-34","25-34","35-44"
-373576468,6411,,,3388,"25-34","25-34","35-44","35-44"
-2002163255,1568,,,,"25-34","35-44","35-44","45-54"
-1881277337,,,,"4116,4681","25-34","25-34","25-34","35-44"
541325451,1740,,,3861,"25-34","25-34","35-44","35-44"
-632096872,,7712,,,"25-34","25-34","35-44","35-44"
1440815359,,,,6213,"25-34","35-44","35-44","35-44"
863016901,,,7136,,"25-34","25-34","35-44","35-44"
1637133252,,,,6335,"25-34","25-34","35-44","35-44"
2019729652,2375,,,,"45-54","55-64","55-64","65-74"
-683725173,1314,,,,"35-44","35-44","45-54","45-54"
7323182,,8666,,,"16-24","16-24","25-34","25-34"
-995148181,,,,6385,"35-44","35-44","45-54","45-54"
-756039943,,,,644,"35-44","45-54","45-54","45-54"
479902303,5107,,,,"35-44","35-44","45-54","45-54"
-270691318,3790,,,,"35-44","35-44","45-54","45-54"
720573931,,7970,,,"16-24","16-24","25-34","25-34"
-696022952,"2203,4972",,,,"25-34","25-34","35-44","35-44"
-1082471408,,6585,,,"16-24","25-34","25-34","35-44"
-513088653,2860,,,,"35-44","45-54","45-54","45-54"
-2120271560,1629,1485,,1485,"45-54","55-64","55-64","65-74"
-258987647,,,,3965,"16-24","25-34","25-34","35-44"
851645205,,,11490,,"25-34","25-34","35-44","35-44"
1682375097,3528,,,,"25-34","25-34","35-44","35-44"
696762222,392,,,,"35-44","35-44","45-54","45-54"
-1911963668,,,12617,,"25-34","25-34","35-44","35-44"
-968408356,,8597,,,"35-44","45-54","45-54","45-54"
-201970936,,8072,,,"25-34","25-34","35-44","35-44"
-2107994513,4294,,,,"25-34","35-44","35-44","45-54"
-224857880,,7891,,,"25-34","35-44","35-44","45-54"
-829671401,1583,,,37,"35-44","45-54","45-54","55-64"
-1954852976,606,,,,"55-64","65-74","65-74","65-74"
2130292402,,7690,,,"16-24","25-34","25-34","25-34"
1405734794,2387,,,,"45-54","55-64","55-64","55-64"
-921503288,5950,,,,"45-54","45-54","55-64","55-64"
-1667811220,,,,6279,"25-34","25-34","35-44","35-44"
1832248225,,,16289,,"0-15","16-24","16-24","16-24"
121443524,,8720,8720,,"25-34","25-34","35-44","35-44"
-790680958,5949,,,,"35-44","35-44","45-54","45-54"
610593780,,8010,,,"16-24","16-24","25-34","25-34"
2006138651,2356,,,,"45-54","45-54","55-64","55-64"
-2087203997,,,,6443,"16-24","25-34","25-34","35-44"
-300153141,,,,5548,"25-34","25-34","25-34","35-44"
-883635106,2749,6041,,6041,"25-34","25-34","35-44","35-44"
1984677117,2748,6042,,6042,"25-34","25-34","35-44","35-44"
-2005502313,3674,,,,"35-44","35-44","45-54","45-54"
930234412,5179,,,,"16-24","25-34","25-34","35-44"
1836350698,,,,5473,"16-24","25-34","25-34","35-44"
454653885,312,,,,"55-64","55-64","65-74","65-74"
-864978834,837,,,,"35-44","35-44","45-54","45-54"
1430491534,3659,,,,"25-34","25-34","25-34","35-44"
-1794541151,2424,,,,"25-34","25-34","35-44","35-44"
-1302819031,,8162,,,"25-34","25-34","35-44","35-44"
1176232653,2141,,,,"35-44","45-54","45-54","45-54"
-421727187,612,,,,"35-44","35-44","45-54","45-54"
819090675,,8620,,,"16-24","16-24","25-34","25-34"
798038413,,,,5204,"16-24","25-34","25-34","35-44"
-1714595108,3645,2273,,,"35-44","35-44","45-54","45-54"
-2076001,,,10218,,"16-24","25-34","25-34","35-44"
1464697426,5008,,,,"25-34","25-34","35-44","35-44"
-787002034,5721,,,3146,"25-34","25-34","35-44","35-44"
103859938,3486,,,,"65-74","65-74","75-84","75-84"
-1714493654,,9256,,,"0-15","16-24","16-24","25-34"
1634255476,,5595,,5595,"25-34","25-34","25-34","35-44"
982983846,2089,,,,"35-44","35-44","45-54","45-54"
557498020,,,,4703,"16-24","16-24","25-34","25-34"
693611489,70,,,,"25-34","35-44","35-44","45-54"
1453710795,5564,,,3064,"25-34","25-34","35-44","35-44"
1514737855,,5658,,5658,"65-74","65-74","65-74","75-84"
-1214045948,4537,,,,"35-44","35-44","45-54","45-54"
-1411080711,467,,,,"45-54","55-64","55-64","55-64"
1318127551,,,,6254,"16-24","25-34","25-34","25-34"
-1704311981,,7542,,,"16-24","16-24","25-34","25-34"
-2098055919,4245,2533,2533,2533,"35-44","45-54","45-54","55-64"
-306940280,4587,,,,"45-54","45-54","55-64","55-64"
-1888903243,,,16288,,"55-64","55-64","65-74","65-74"
-1897465026,,,,4398,"16-24","25-34","25-34","35-44"
972967994,5455,,,,"25-34","35-44","35-44","45-54"
